"Country","City","TypeContract","PriceValue"
"Romania","Botosani","Servicii","41389"
"Romania","Botosani","Servicii","195527"
"Romania","Bucuresti","Furnizare","50940"
"Romania","Bucuresti","Furnizare","6792"
"Romania","Bucuresti","Furnizare","277302"
"Romania","Bucuresti","Furnizare","268320"
"Romania","Bucuresti","Furnizare","2626"
"Romania","Bucuresti","Furnizare","336402"
"Romania","Bucuresti","Furnizare","10320"
"Romania","Bucuresti","Furnizare","37038"
"Romania","Ramnicu Valcea","Servicii","47870"
"Romania","Ramnicu Valcea","Servicii","262462"
"Romania","Slobozia","Servicii","29676"
"Romania","Slobozia","Servicii","194928"
"Romania","Oradea","Furnizare","18477"
"Romania","Iasi","Furnizare","195"
"Romania","Suceava","Servicii","62370"
"Romania","Bucuresti","Furnizare","573300"
"Romania","Targu Jiu","Servicii","255164"
"Romania","Targu Jiu","Servicii","18545"
"Romania","Bucuresti","Furnizare","54480"
"Romania","Bucuresti","Furnizare","235800"
"Romania","Bucuresti","Furnizare","198217"
"Romania","Buhusi","Servicii","81600"
"Romania","Pitesti","Furnizare","235250"
"Romania","Slatina","Servicii","17594"
"Romania","Slatina","Servicii","188890"
"Romania","Bucuresti","Furnizare","1554960"
"Romania","Bucuresti","Furnizare","379776"
"Romania","Bucuresti","Furnizare","1449888"
"Romania","Bucuresti","Furnizare","426480"
"Romania","Bucuresti","Furnizare","1383760"
"Romania","Bucuresti","Furnizare","54040"
"Romania","Bucuresti","Servicii","2575"
"Romania","Targu Mures","Furnizare","12162691"
"Romania","Targu Mures","Furnizare","255838"
"Romania","Lumina","Servicii","237250"
"Romania","Ilisesti","Furnizare","3840"
"Romania","Ilisesti","Furnizare","9300"
"Romania","Ilisesti","Furnizare","9600"
"Romania","Ilisesti","Furnizare","10560"
"Romania","Ilisesti","Furnizare","11400"
"Romania","Ilisesti","Furnizare","12000"
"Romania","Ilisesti","Furnizare","13200"
"Romania","Ilisesti","Furnizare","27720"
"Romania","Ilisesti","Furnizare","99360"
"Romania","Dobroesti","Furnizare","54972"
"Romania","Bucuresti","Furnizare","3666"
"Romania","Botosani","Furnizare","12162691"
"Romania","Bucuresti","Servicii","188200"
"Romania","Cluj-Napoca","Lucrari","58994"
"Romania","Cluj-Napoca","Lucrari","98921"
"Romania","Cluj-Napoca","Lucrari","170960"
"Romania","Bucuresti","Furnizare","108000"
"Romania","Brasov","Furnizare","18158"
"Romania","Brasov","Furnizare","63720"
"Romania","Brasov","Furnizare","6480"
"Romania","Brasov","Furnizare","83016"
"Romania","Brasov","Furnizare","7776"
"Romania","Brasov","Furnizare","230040"
"Romania","Brasov","Furnizare","24790"
"Romania","Brasov","Furnizare","2891"
"Romania","Brasov","Furnizare","2880"
"Romania","Brasov","Furnizare","6336"
"Romania","Brasov","Furnizare","10368"
"Romania","Brasov","Furnizare","2304"
"Romania","Brasov","Furnizare","11390"
"Romania","Brasov","Furnizare","4975"
"Romania","Brasov","Furnizare","70560"
"Romania","Brasov","Furnizare","16542"
"Romania","Brasov","Furnizare","6552"
"Romania","Brasov","Furnizare","10800"
"Romania","Brasov","Furnizare","1771"
"Romania","Brasov","Furnizare","13997"
"Romania","Brasov","Furnizare","178200"
"Romania","Brasov","Furnizare","10346"
"Romania","Brasov","Furnizare","201960"
"Romania","Brasov","Furnizare","17928"
"Romania","Brasov","Furnizare","32400"
"Romania","Brasov","Furnizare","173750"
"Romania","Brasov","Furnizare","22752"
"Romania","Brasov","Furnizare","13971"
"Romania","Brasov","Furnizare","33840"
"Romania","Brasov","Furnizare","16560"
"Romania","Brasov","Furnizare","5220"
"Romania","Brasov","Furnizare","2419"
"Romania","Brasov","Furnizare","3600"
"Romania","Brasov","Furnizare","3416"
"Romania","Brasov","Furnizare","17910"
"Romania","Brasov","Furnizare","4018"
"Romania","Brasov","Furnizare","15300"
"Romania","Brasov","Furnizare","6660"
"Romania","Brasov","Furnizare","6419"
"Romania","Brasov","Furnizare","10320"
"Romania","Brasov","Furnizare","207380"
"Romania","Brasov","Furnizare","181526"
"Romania","Brasov","Furnizare","26100"
"Romania","Brasov","Furnizare","21478"
"Romania","Brasov","Furnizare","20678"
"Romania","Brasov","Furnizare","3207"
"Romania","Brasov","Furnizare","17280"
"Romania","Brasov","Furnizare","57420"
"Romania","Brasov","Furnizare","346104"
"Romania","Brasov","Furnizare","10627"
"Romania","Brasov","Furnizare","57024"
"Romania","Brasov","Furnizare","32940"
"Romania","Brasov","Furnizare","25920"
"Romania","Brasov","Furnizare","7279"
"Romania","Brasov","Furnizare","34128"
"Romania","Brasov","Furnizare","38370"
"Romania","Brasov","Furnizare","15545"
"Romania","Brasov","Furnizare","13802"
"Romania","Brasov","Furnizare","64271"
"Romania","Brasov","Furnizare","347896"
"Romania","Brasov","Furnizare","57240"
"Romania","Brasov","Furnizare","3042"
"Romania","Brasov","Furnizare","6048"
"Romania","Brasov","Furnizare","8010"
"Romania","Brasov","Furnizare","6926"
"Romania","Brasov","Furnizare","9504"
"Romania","Brasov","Furnizare","115020"
"Romania","Brasov","Furnizare","123876"
"Romania","Brasov","Furnizare","22320"
"Romania","Brasov","Furnizare","60813"
"Romania","Brasov","Furnizare","7380"
"Romania","Brasov","Furnizare","61506"
"Romania","Brasov","Furnizare","10426"
"Romania","Brasov","Furnizare","20832"
"Romania","Brasov","Furnizare","102000"
"Romania","Brasov","Furnizare","21744"
"Romania","Brasov","Furnizare","6156"
"Romania","Brasov","Furnizare","8254"
"Romania","Brasov","Furnizare","524880"
"Romania","Brasov","Furnizare","19872"
"Romania","Alba Iulia","Lucrari","467528"
"Romania","Alba Iulia","Lucrari","639340"
"Romania","Deva","Furnizare","936"
"Romania","Deva","Furnizare","1224"
"Romania","Deva","Furnizare","5040"
"Romania","Deva","Furnizare","1440"
"Romania","Deva","Furnizare","2808"
"Romania","Deva","Furnizare","59280"
"Romania","Deva","Furnizare","13860"
"Romania","Deva","Furnizare","41400"
"Romania","Deva","Furnizare","8640"
"Romania","Deva","Furnizare","670"
"Romania","Deva","Furnizare","3780"
"Romania","Deva","Furnizare","122"
"Romania","Deva","Furnizare","15406"
"Romania","Deva","Furnizare","125582"
"Romania","Deva","Furnizare","4003"
"Romania","Deva","Furnizare","68040"
"Romania","Deva","Furnizare","126576"
"Romania","Deva","Furnizare","207180"
"Romania","Deva","Furnizare","13971"
"Romania","Deva","Furnizare","9696"
"Romania","Deva","Furnizare","3024"
"Romania","Deva","Furnizare","16560"
"Romania","Deva","Furnizare","1008"
"Romania","Deva","Furnizare","14832"
"Romania","Deva","Furnizare","6840"
"Romania","Deva","Furnizare","207380"
"Romania","Deva","Furnizare","26100"
